Symbol,Combination,Total_Trades,Profitable_Trades,Total_Profit_Loss,Accuracy
CINF,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
CINF,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
CINF,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
CINF,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",24,11,0.5899887084960938,45.83333333333333
TXT,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",7,4,2.7999954223632812,57.14285714285714
TXT,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
TXT,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",14,8,5.019889831542969,57.14285714285714
TXT,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",2,2,1.654998779296875,100.0
TXT,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",7,4,2.7999954223632812,57.14285714285714
TXT,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
TXT,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",2,2,1.654998779296875,100.0
TXT,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
TXT,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
TXT,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
TXT,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",2,2,1.654998779296875,100.0
TXT,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
TXT,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
TXT,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
IRM,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",28,18,7.037078857421875,64.28571428571429
IRM,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",24,14,5.3620758056640625,58.333333333333336
IRM,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",7,5,4.5558929443359375,71.42857142857143
IRM,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
IRM,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",38,24,11.347068786621094,63.1578947368421
IRM,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",7,5,4.5558929443359375,71.42857142857143
IRM,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",24,14,5.3620758056640625,58.333333333333336
IRM,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
IRM,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",7,5,4.5558929443359375,71.42857142857143
IRM,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",7,5,4.5558929443359375,71.42857142857143
